,0
0.0,1.0
0.001,0.9801986733067553
0.002,0.9762857097579093
0.003,0.9723883668012469
0.004,0.9685065820791976
0.005,0.964640293483123
0.006,0.964640293483123
0.007,0.9607894391523232
0.008,0.9569539574730467
0.009000000000000001,0.9569539574730467
0.01,0.9531337870775047
0.011,0.9531337870775047
0.012,0.9493288668428895
0.013000000000000001,0.9493288668428895
0.014,0.9455391358903962
0.015,0.9455391358903962
0.016,0.9417645335842486
0.017,0.9417645335842486
0.018000000000000002,0.9417645335842486
0.019,0.9380049995307295
0.02,0.9380049995307295
0.021,0.9342604735772135
0.022,0.9342604735772135
0.023,0.9342604735772135
0.024,0.9305308958112056
0.025,0.9305308958112056
0.026000000000000002,0.9305308958112056
0.027,0.9268162065593821
0.028,0.9268162065593821
0.029,0.9268162065593821
0.03,0.9268162065593821
0.031,0.9231163463866358
0.032,0.9231163463866358
0.033,0.9231163463866358
0.034,0.9194312560951248
0.035,0.9194312560951248
0.036000000000000004,0.9194312560951248
0.037,0.9194312560951248
0.038,0.9157608767233257
0.039,0.9157608767233257
0.04,0.9157608767233257
0.041,0.9157608767233257
0.042,0.9121051495450905
0.043000000000000003,0.9121051495450905
0.044,0.9121051495450905
0.045,0.9121051495450905
0.046,0.9084640160687063
0.047,0.9084640160687063
0.048,0.9084640160687063
0.049,0.9084640160687063
0.05,0.9048374180359597
0.051000000000000004,0.9048374180359597
0.052000000000000005,0.9048374180359597
0.053,0.9048374180359597
0.054,0.9048374180359597
0.055,0.9012252974212049
0.056,0.9012252974212049
0.057,0.9012252974212049
0.058,0.9012252974212049
0.059000000000000004,0.9012252974212049
0.06,0.897627596430435
0.061,0.897627596430435
0.062,0.897627596430435
0.063,0.897627596430435
0.064,0.897627596430435
0.065,0.8940442575003573
0.066,0.8940442575003573
0.067,0.8940442575003573
0.068,0.8940442575003573
0.069,0.8940442575003573
0.07,0.8904752232974728
0.07100000000000001,0.8904752232974728
0.07200000000000001,0.8904752232974728
0.073,0.8904752232974728
0.074,0.8904752232974728
0.075,0.8869204367171576
0.076,0.8869204367171576
0.077,0.8869204367171576
0.078,0.8869204367171576
0.079,0.8869204367171576
0.08,0.8869204367171576
0.081,0.883379840882751
0.082,0.883379840882751
0.083,0.883379840882751
0.084,0.883379840882751
0.085,0.883379840882751
0.08600000000000001,0.883379840882751
0.08700000000000001,0.8798533791446439
0.088,0.8798533791446439
0.089,0.8798533791446439
0.09,0.8798533791446439
0.091,0.8798533791446439
0.092,0.8798533791446439
0.093,0.8763409950793734
0.094,0.8763409950793734
0.095,0.8763409950793734
0.096,0.8763409950793734
0.097,0.8763409950793734
0.098,0.8763409950793734
0.099,0.8763409950793734
0.1,0.8728426324887194
0.101,0.8728426324887194
0.10200000000000001,0.8728426324887194
0.10300000000000001,0.8728426324887194
0.10400000000000001,0.8728426324887194
0.105,0.8728426324887194
0.106,0.8728426324887194
0.107,0.8693582353988059
0.108,0.8693582353988059
0.109,0.8693582353988059
0.11,0.8693582353988059
0.111,0.8693582353988059
0.112,0.8693582353988059
0.113,0.8693582353988059
0.114,0.8658877480592051
0.115,0.8658877480592051
0.116,0.8658877480592051
0.117,0.8658877480592051
0.11800000000000001,0.8658877480592051
0.11900000000000001,0.8658877480592051
0.12,0.8658877480592051
0.121,0.8624311149420455
0.122,0.8624311149420455
0.123,0.8624311149420455
0.124,0.8624311149420455
0.125,0.8624311149420455
0.126,0.8624311149420455
0.127,0.8624311149420455
0.128,0.8589882807411235
0.129,0.8589882807411235
0.13,0.8589882807411235
0.131,0.8589882807411235
0.132,0.8589882807411235
0.133,0.8589882807411235
0.134,0.8589882807411235
0.135,0.8589882807411235
0.136,0.8555591903710186
0.137,0.8555591903710186
0.138,0.8555591903710186
0.139,0.8555591903710186
0.14,0.8555591903710186
0.14100000000000001,0.8555591903710186
0.14200000000000002,0.8555591903710186
0.14300000000000002,0.8555591903710186
0.14400000000000002,0.8521437889662115
0.145,0.8521437889662115
0.146,0.8521437889662115
0.147,0.8521437889662115
0.148,0.8521437889662115
0.149,0.8521437889662115
0.15,0.8521437889662115
0.151,0.8521437889662115
0.152,0.8521437889662115
0.153,0.8487420218802068
0.154,0.8487420218802068
0.155,0.8487420218802068
0.156,0.8487420218802068
0.157,0.8487420218802068
0.158,0.8487420218802068
0.159,0.8487420218802068
0.16,0.8487420218802068
0.161,0.8453538346846587
0.162,0.8453538346846587
0.163,0.8453538346846587
0.164,0.8453538346846587
0.165,0.8453538346846587
0.166,0.8453538346846587
0.167,0.8453538346846587
0.168,0.8453538346846587
0.169,0.8453538346846587
0.17,0.8419791731685
0.171,0.8419791731685
0.17200000000000001,0.8419791731685
0.17300000000000001,0.8419791731685
0.17400000000000002,0.8419791731685
0.17500000000000002,0.8419791731685
0.176,0.8419791731685
0.177,0.8419791731685
0.178,0.8419791731685
0.179,0.838617983337074
0.18,0.838617983337074
0.181,0.838617983337074
0.182,0.838617983337074
0.183,0.838617983337074
0.184,0.838617983337074
0.185,0.838617983337074
0.186,0.838617983337074
0.187,0.838617983337074
0.188,0.8352702114112721
0.189,0.8352702114112721
0.19,0.8352702114112721
0.191,0.8352702114112721
0.192,0.8352702114112721
0.193,0.8352702114112721
0.194,0.8352702114112721
0.195,0.8352702114112721
0.196,0.8352702114112721
0.197,0.8352702114112721
0.198,0.8319358038266718
0.199,0.8319358038266718
0.2,0.8319358038266718
0.201,0.8319358038266718
0.202,0.8319358038266718
0.203,0.8319358038266718
0.20400000000000001,0.8319358038266718
0.20500000000000002,0.8319358038266718
