#S0=1,r=0.05,nX=1000,nT=1000,x0=-2,x1=2,m=implicit,vs=SviPowerLaw(v0=0.09, v1=0.04, v2=0.04, k1=5, k2=0.1, rho=-0.5, eta=1, gam=0.5)
k,K,T,ex,pc,pxTrue,pxLatt,sigTrue,sigLatt,sigLV,sigErr
-0.5,0.6095709072963093,0.1,E,P,4.0236798786455e-05,4.935939981739499e-05,0.517879100703683,0.526958493544825,0.7172578095373775,0.009079392841142009
-0.45,0.6408242760323187,0.1,E,P,7.288182790485604e-05,9.610756307092338e-05,0.49453281185690756,0.5075693048336268,0.6828652615135984,0.013036492976719272
-0.4,0.6736800392488675,0.1,E,P,0.0001325483414491558,0.00015300068893038966,0.47005075514160605,0.47708166321105067,0.6465562653803183,0.007030908069444619
-0.35000000000000003,0.7082203534677999,0.1,E,P,0.0002422592495277163,0.00029450240766655175,0.44425435703480026,0.4545166428789206,0.6079584566710197,0.010262285844120311
-0.30000000000000004,0.7445315874659093,0.1,E,P,0.00044553396704602374,0.0004894331022018357,0.4169152011942925,0.4221392574413874,0.5665609171918631,0.0052240562470949325
-0.25000000000000006,0.7827045382418681,0.1,E,P,0.0008259646865814637,0.0009377565410096661,0.38773513822205746,0.3954552248374648,0.5216331792101081,0.007720086615407351
-0.20000000000000007,0.8228346580560183,0.1,E,P,0.0015478236648756763,0.0016354435624527219,0.35631774885067363,0.35997355766942696,0.47207940658064385,0.0036558088187533255
-0.15000000000000008,0.8650222931107411,0.1,E,P,0.0029452544100084166,0.0031637303454705506,0.3221331834073339,0.32756125152888094,0.4161722126738995,0.005428068121547058
-0.10000000000000009,0.9093729344682313,0.1,E,P,0.005736920811250758,0.005888132016850923,0.2845134988150082,0.2868410999022681,0.3511364354890887,0.0023276010872598785
-0.0500000000000001,0.9559974818330997,0.1,E,P,0.01162382441371778,0.011967546537750846,0.24297025525430116,0.24641495526814572,0.2733981753850708,0.0034447000138445594
-1.1102230246251565e-16,1.0050125208594007,0.1,E,P,0.025238732530730248,0.025405029607911977,0.2000920895804447,0.2014109332933216,0.18881711907573442,0.0013188437128769104
0.04999999999999982,1.056540614675494,0.1,E,C,0.00560367337951341,0.005831023964205975,0.17433598251168542,0.17697260727866562,0.15424064208343857,0.0026366247669802056
0.09999999999999987,1.110710610355705,0.1,E,C,0.000913711659687924,0.0009746025457338962,0.17865748622664013,0.18081658341620532,0.18482806527720275,0.0021590971895651956
0.1499999999999999,1.167657961105125,0.1,E,C,0.00015544252954575357,0.00019310614536977824,0.19379267942627584,0.19891737020862232,0.22300568968362233,0.0051246907823464805
0.19999999999999984,1.2275250649631773,0.1,E,C,2.7968374082591788e-05,3.583770029056282e-05,0.2107055277169845,0.21533509556988353,0.2568002023284463,0.00462956785289903
0.24999999999999978,1.2904616208728894,0.1,E,C,5.2171866301220665e-06,9.52392548734592e-06,0.22737181252907082,0.23717946476715576,0.2866373308080684,0.00980765223808494
0.2999999999999998,1.3566250030062237,0.1,E,C,9.963960987124328e-07,1.869027714040304e-06,0.24334568956957578,0.2523187306259499,0.3135333833272553,0.008973041056374115
0.34999999999999987,1.4261806542814799,0.1,E,C,1.934155869699185e-07,6.8348872721023e-07,0.2585646179444134,0.2754511051067151,0.3382025937093153,0.016886487162301733
0.3999999999999998,1.4993025000567666,0.1,E,C,3.7991254044373145e-08,1.3882518867184218e-07,0.27306832840070755,0.2888465934968307,0.3611233040610561,0.015778265096123123
0.44999999999999973,1.5761733830339906,0.1,E,C,7.529392052871254e-09,6.783369494869552e-08,0.28692117981511106,0.31288503297175696,0.3826264860745684,0.0259638531566459
0.4999999999999998,1.6569855204608501,0.1,E,C,1.5026989625806142e-09,1.4305334111136176e-08,0.30018872809039265,0.3249147938376581,0.4029505457045816,0.024726065747265435
-0.5,0.612626394184416,0.2,E,P,0.0003062049671659015,0.00039010009037586954,0.44644166431948806,0.45922205596408355,0.6125619478399982,0.01278039164459549
-0.45,0.6440364210831413,0.2,E,P,0.000473937263180197,0.0004994634809639878,0.4273582802080346,0.4301842761276892,0.5836819903400363,0.0028259959196546003
-0.4,0.6770568744981647,0.2,E,P,0.000736207955388792,0.0008823670580370969,0.407415182722397,0.41793666042994204,0.553187404471859,0.010521477707545024
-0.35000000000000003,0.7117703227626097,0.2,E,P,0.0011486430087064411,0.0011914358996380702,0.38649219815271985,0.3886946759946074,0.5207684383817506,0.00220247784188754
-0.30000000000000004,0.7482635675785652,0.2,E,P,0.001801897596004427,0.002047787594155517,0.3644418069209192,0.3728547631778857,0.48600818414870833,0.008412956256966475
-0.25000000000000006,0.7866278610665534,0.2,E,P,0.0028462932627219273,0.002914630933688648,0.34108248578786243,0.34273924691605384,0.4483311422729449,0.0016567611281914085
-0.20000000000000007,0.8269591339433622,0.2,E,P,0.004537160018048576,0.004928194402496397,0.31619408337702676,0.3226651251864819,0.4069280462492882,0.006471041809455125
-0.15000000000000008,0.8693582353988056,0.2,E,P,0.007323496076320694,0.007424067570208654,0.2895273207194335,0.2907151939691904,0.36067267660716096,0.0011878732497568878
-0.10000000000000009,0.9139311852712281,0.2,E,P,0.012036371463809852,0.012595357913760276,0.2608773850736453,0.26561032429738457,0.3081878848857746,0.004732939223739296
-0.0500000000000001,0.960789439152323,0.2,E,P,0.0203304628427926,0.020455226747894042,0.23043744541121702,0.2312447501785238,0.24897386633286528,0.0008073047673067824
-1.1102230246251565e-16,1.0100501670841677,0.2,E,P,0.03572910797308107,0.03633441044622116,0.20032831171659476,0.2037244904233568,0.18943131515885078,0.0033961787067620375
0.04999999999999982,1.0618365465453594,0.2,E,C,0.01322647164518373,0.013330597504654453,0.17855770270282303,0.17925021826323131,0.15535006089324943,0.00069251556040828
0.09999999999999987,1.116278070458871,0.2,E,C,0.0038227474464776405,0.004137341838054798,0.17376531024269068,0.17753982997407408,0.16388284510108725,0.0037745197313834022
0.1499999999999999,1.17351087099181,0.2,E,C,0.0010673680762216607,0.0011136286751647637,0.1804041481148076,0.1817427121712182,0.19010502601945148,0.0013385640564106127
0.19999999999999984,1.233678059956743,0.2,E,C,0.0003073991767048351,0.0003950623029694547,0.19113280708917788,0.1974244992295345,0.21731253691966748,0.006291692140356631
0.24999999999999978,1.2969300866657714,0.2,E,C,9.122810602502952e-05,0.00010360304086953481,0.20299024860323442,0.20557981249451301,0.2423065837969928,0.0025895638912785957
0.2999999999999998,1.3634251141321776,0.2,E,C,2.7679086408155134e-05,4.8957059142707224e-05,0.21496996783432581,0.22553317784588456,0.2650626337881963,0.010563210011558744
0.34999999999999987,1.43332941456034,0.2,E,C,8.533600480193748e-06,1.1491820604389852e-05,0.22672115386837832,0.23147894582508857,0.28597386486648824,0.00475779195671025
0.3999999999999998,1.5068177851128532,0.2,E,C,2.662453371412314e-06,7.784643181696918e-06,0.23812470805533392,0.2547652910919317,0.30539583807811016,0.016640583036597767
0.44999999999999973,1.5840739849944814,0.2,E,C,8.382749867146185e-07,1.5429786577171433e-06,0.24914990558489683,0.2574995840191196,0.32360022126742716,0.008349678434222768
0.4999999999999998,1.6652911949458857,0.2,E,C,2.658270006163888e-07,1.5323592653923188e-06,0.25980118617163195,0.28395514638102376,0.34079043956688276,0.02415396020939181
-0.5,0.6156971967642851,0.3,E,P,0.0008051815199694613,0.0009977136860735922,0.41117945893440927,0.42362316341394307,0.5604504757089821,0.012443704479533801
-0.45,0.6472646670780347,0.3,E,P,0.0011615299863964568,0.0013157695095857508,0.39430269703844384,0.4017861400316186,0.5343172162285945,0.0074834429931747715
-0.4,0.6804506362045877,0.3,E,P,0.0016811987473005253,0.0019813019164343056,0.37671148878368665,0.38720272355450897,0.5067268642797299,0.01049123477082231
-0.35000000000000003,0.7153380863525599,0.3,E,P,0.002443187950126522,0.002678498340011242,0.3583158512671324,0.3644704916498127,0.47740894622569696,0.006154640382680321
-0.30000000000000004,0.7520142543193826,0.3,E,P,0.0035681554014787378,0.004021706862704474,0.3390094042996773,0.347656622408491,0.44600868821269946,0.008647218108813692
-0.25000000000000006,0.7905708496287355,0.3,E,P,0.0052436567529077485,0.005588728661930147,0.31866838433857364,0.3236010816748611,0.4120563704230968,0.004932697336287484
-0.20000000000000007,0.8311042838521255,0.3,E,P,0.007768268164843134,0.008421169859742872,0.2971561598992308,0.30408519620447827,0.3749363014777467,0.0069290363052474935
-0.15000000000000008,0.8737159116880343,0.3,E,P,0.01163315481077245,0.012106855845969268,0.2743463302769967,0.27817674648311563,0.3338962323659635,0.0038304162061189584
-0.10000000000000009,0.9185122844014573,0.3,E,P,0.017683294101520232,0.018543211001121954,0.25020725481360323,0.2555890296568222,0.2882732186926668,0.005381774843218945
-0.0500000000000001,0.9656054162575664,0.3,E,P,0.027454364352153614,0.028023115358882186,0.2250922586795099,0.2279923082359861,0.23859130529297573,0.0029000495564761863
-1.1102230246251565e-16,1.0151130646157187,0.3,E,P,0.043824829116148,0.04474328466285549,0.20066336197098358,0.2048731194005465,0.1902559415574989,0.004209757429562921
