index,M,T,r,q,sig,bsPrice
GBM-52,0.945844,2.9959,0.0295285,0.0237759,0.068537,2.89953
GBM-53,0.934063,0.0184319,0.0292091,0.0114973,0.126608,1.58824e-05
GBM-54,0.891917,0.340109,0.020119,0.015412,0.184835,0.864014
GBM-55,1.17524,2.48869,0.022395,0.00293005,0.281433,26.8842
GBM-56,1.10228,2.52028,0.0269554,0.0140592,0.255617,21.1805
GBM-57,1.0288,1.41912,0.0211348,0.00432582,0.259837,14.6106
GBM-58,0.868805,0.0495866,0.0246494,0.0185353,0.0929767,1.91507e-12
GBM-59,0.852359,2.97704,0.0138948,0.000725438,0.236516,11.5071
GBM-60,0.869769,1.57736,0.0148307,0.014423,0.160835,3.0795
GBM-61,1.02857,2.74349,0.0106594,0.0043339,0.496712,33.0837
GBM-62,0.873329,0.330302,0.0198984,0.00247104,0.211944,0.953984
GBM-63,0.972692,0.244284,0.0290071,0.0178572,0.151024,1.9095
GBM-64,0.86105,0.49547,0.0111246,0.00212569,0.447267,7.06098
GBM-65,0.995542,0.507557,0.02716,0.0125812,0.240578,6.9223
GBM-66,1.14732,1.0205,0.0174416,0.0164898,0.115395,13.3243
GBM-67,0.967306,2.29883,0.0218878,0.0263019,0.13421,5.88654
GBM-68,0.86043,0.349681,0.014104,0.0229466,0.26408,1.43807
GBM-69,1.05489,2.78739,0.0164192,0.0121478,0.324514,23.1882
GBM-70,1.12355,2.11538,0.019452,0.0290666,0.0942848,10.371
GBM-71,1.19565,0.0593809,0.0235275,0.025488,0.143786,16.3287
GBM-72,1.11804,0.593833,0.0270239,0.000748048,0.08672,12.0058
GBM-73,0.980885,1.0227,0.0247151,0.0253299,0.333787,12.2336
GBM-74,0.851828,2.03588,0.0198631,0.0126305,0.0536663,0.0882096
GBM-75,1.1724,1.439,0.0115621,0.0210299,0.345826,22.3185
GBM-76,1.11622,2.20052,0.0116516,0.0287948,0.405008,24.8104
GBM-77,0.859796,1.38841,0.0154161,0.0124245,0.317326,9.1352
GBM-78,0.927965,2.33818,0.0161011,0.000537407,0.0830429,3.43484
GBM-79,0.846034,0.70412,0.0208375,0.00988008,0.116838,0.229865
GBM-80,0.931154,2.25959,0.018831,0.00274184,0.0815799,3.37623
GBM-81,0.990087,2.94584,0.0136905,0.00916383,0.448534,29.2871
GBM-82,1.11916,1.02673,0.016219,0.00361136,0.142219,13.1782
GBM-83,0.907881,2.71713,0.0128391,0.0241399,0.499736,25.9604
GBM-84,0.852332,2.62875,0.0170926,0.00911678,0.284952,12.7366
GBM-85,0.872661,0.10372,0.0181812,0.00128382,0.157021,0.0065528
GBM-86,0.851102,0.494076,0.0146814,0.0015013,0.0843279,0.00906818
GBM-87,0.844281,1.68008,0.0194343,0.0033949,0.471135,18.7443
GBM-88,1.16957,0.927136,0.0223742,0.018708,0.436354,23.4778
GBM-89,1.16301,2.68027,0.0175951,0.0171306,0.114146,15.4216
GBM-90,1.11118,2.5176,0.0267639,0.0160874,0.366039,27.0483
GBM-91,1.08693,0.831841,0.0106212,0.0297384,0.255261,12.2904
GBM-92,0.90387,1.05509,0.0178943,0.0297524,0.187006,3.36228
GBM-93,0.804525,0.441277,0.0108052,0.0192378,0.352086,2.37984
GBM-94,1.03507,0.238744,0.0274503,0.0105232,0.262454,7.11112
GBM-95,1.16907,0.849653,0.0291562,0.0283712,0.263524,17.5891
GBM-96,1.15231,0.189405,0.0117893,0.020271,0.273701,13.6781
GBM-97,1.19623,2.35354,0.0191713,0.00193011,0.189464,22.9835
GBM-98,1.13714,2.96768,0.0238722,0.014952,0.315653,26.6419
GBM-99,1.13922,0.493917,0.0169056,0.00278012,0.281064,15.4589
GBM-100,1.18685,1.14514,0.0218136,0.016151,0.204417,18.2904
GBM-101,0.922755,2.53289,0.0217756,0.0186817,0.0994997,3.29957
GBM-102,1.10415,1.73017,0.02014,0.00487102,0.457577,28.3827
GBM-103,1.02519,2.9015,0.0192198,0.0263982,0.121478,7.806
GBM-104,1.0509,0.541966,0.0278272,0.0027128,0.411395,14.962
GBM-105,1.08349,1.02912,0.0243984,0.0220071,0.0917081,8.64926
GBM-106,1.10051,2.22947,0.0189721,0.0202481,0.351894,23.4589
GBM-107,0.96721,2.27362,0.0129702,0.000302135,0.169865,9.98084
GBM-108,1.12825,0.683605,0.019164,0.0294174,0.317367,15.8337
GBM-109,1.13844,1.31329,0.0275302,0.0163662,0.446597,25.7269
GBM-110,0.98807,0.651479,0.0146971,0.00612757,0.442128,13.832
GBM-111,1.0136,0.189509,0.0233966,0.0258114,0.234401,4.70109
GBM-112,0.876448,0.419589,0.0175405,0.0197356,0.28535,2.70591
GBM-113,0.827135,0.426169,0.0158033,0.0245841,0.421512,4.23919
GBM-114,1.01716,1.83477,0.0152623,0.0052574,0.217613,13.2053
GBM-115,0.861881,0.204767,0.0152623,0.00506558,0.457745,3.13142
GBM-116,1.13006,1.05216,0.0298456,0.00837592,0.261792,17.9483
GBM-117,0.877072,1.09661,0.0169637,0.02874,0.0983627,0.394011
GBM-118,0.917597,0.361351,0.0234006,0.00578826,0.400292,6.35381
GBM-119,0.801829,2.60659,0.0111984,0.00320703,0.358304,15.5271
GBM-120,1.12426,2.10741,0.0248314,0.0181827,0.297412,22.0469
GBM-121,1.02355,2.49247,0.0273771,0.0262191,0.425303,25.538
GBM-122,0.853907,0.160064,0.0197991,0.0211983,0.485733,2.45189
GBM-123,0.858961,1.12614,0.0101653,0.0262752,0.15112,1.25282
GBM-124,1.09354,2.64896,0.0243517,0.0147442,0.130616,14.009
GBM-125,1.17125,0.240045,0.0133894,0.00795717,0.442533,17.3847
GBM-126,1.06657,1.44178,0.0229996,0.00686569,0.224417,14.8539
GBM-127,0.912493,1.97201,0.0133785,0.0038184,0.136575,4.68187
GBM-128,0.988279,0.024871,0.0116464,0.0164498,0.388547,1.90527
GBM-129,0.936769,2.05199,0.0265865,0.014119,0.458686,23.5965
GBM-130,1.18644,0.287793,0.0105141,0.000551784,0.107406,15.9547
GBM-131,0.818991,2.81296,0.0253718,0.0207498,0.366826,16.5598
GBM-132,0.833426,1.41089,0.0182137,0.0106406,0.143883,1.51425
GBM-133,0.968785,2.73786,0.0189437,0.0250341,0.474662,26.9674
GBM-134,1.057,1.70539,0.0201478,0.0200261,0.173166,11.3339
GBM-135,0.851325,1.60889,0.0125997,0.0207056,0.493346,17.7886
GBM-136,0.990322,2.52646,0.0208153,0.0194462,0.23888,14.0831
GBM-137,0.988355,0.592484,0.0156502,0.00355399,0.0790872,2.20802
GBM-138,0.950353,1.39385,0.0256127,0.00516309,0.290558,12.5774
GBM-139,1.02316,1.63939,0.0144313,0.0249899,0.138225,7.02006
GBM-140,0.842889,0.20851,0.0152727,0.0273117,0.470283,2.75247
GBM-141,0.840038,0.831805,0.0266767,0.00717059,0.140907,0.727928
GBM-142,0.91054,1.85087,0.0224644,0.0140226,0.461116,21.1959
GBM-143,1.09675,2.65539,0.0257581,0.0104605,0.205061,19.0926
GBM-144,0.948196,2.53607,0.0185528,0.0115889,0.265022,14.8241
GBM-145,1.13931,2.57419,0.0162251,0.00820062,0.168394,18.1266
GBM-146,1.15244,1.97011,0.0196854,0.0048136,0.382669,28.0627
GBM-147,1.12272,2.34461,0.0174727,0.0202121,0.272516,20.3866
GBM-148,1.09485,2.17826,0.0138222,0.000194644,0.0707424,11.9367
GBM-149,1.08237,1.88855,0.0293072,0.0247637,0.262119,17.4565
GBM-150,0.960031,0.341962,0.0281286,0.0103041,0.375579,7.21843
GBM-151,0.80629,0.83289,0.0284075,0.0234674,0.137422,0.259504
GBM-152,0.843199,0.299647,0.020511,0.0277295,0.485288,4.43954
GBM-153,1.00753,2.23923,0.0140613,0.0270898,0.32061,17.0244
GBM-154,1.19885,2.39582,0.023578,0.00746534,0.200367,23.208
GBM-155,0.819846,2.59694,0.0280227,0.0105432,0.334093,15.1778
GBM-156,1.0207,0.32904,0.0182763,0.029403,0.299519,7.5816
GBM-157,0.903447,1.8105,0.0130509,0.0240782,0.230132,7.30037
GBM-158,1.09881,1.19976,0.0292814,0.00368456,0.145304,13.527
GBM-159,1.00302,1.25402,0.0173115,0.00706187,0.183685,8.85962
GBM-160,1.18915,0.464889,0.0199908,0.023065,0.411476,19.8058
GBM-161,1.0955,0.356349,0.0221929,0.0102808,0.346109,13.1769
GBM-162,0.933192,1.1883,0.0235158,0.00100595,0.305776,11.4521
GBM-163,1.17274,1.32797,0.0139803,0.02534,0.190672,16.0168
GBM-164,1.18335,1.22915,0.0272976,0.00101035,0.0654346,18.164
GBM-165,0.985406,0.902837,0.0161326,0.0164259,0.19227,6.50644
GBM-166,1.05397,0.205707,0.0207708,0.00801758,0.373266,9.57818
GBM-167,1.04631,1.10763,0.01367,0.00237341,0.348787,17.089
GBM-168,0.947762,1.76787,0.0298307,0.0215677,0.476034,22.5108
GBM-169,1.16067,1.08876,0.016459,0.0241342,0.411092,22.6557
GBM-170,0.956516,1.24323,0.0264179,0.0224355,0.0963728,2.57523
GBM-171,1.18937,0.794811,0.0159907,0.00829272,0.435962,23.6624
GBM-172,0.901338,2.88108,0.0281443,0.0168062,0.218304,11.2687
GBM-173,1.18798,2.80541,0.0179191,0.023832,0.278436,23.6093
GBM-174,1.13017,2.48546,0.0209083,0.0226999,0.162112,15.2749
GBM-175,0.904509,0.574111,0.0143695,0.0277886,0.0935692,0.204082
GBM-176,0.905163,2.03546,0.0121291,0.00549884,0.33418,15.3329
GBM-177,1.12855,2.74031,0.0132096,0.00489044,0.404958,31.3045
GBM-178,0.910324,1.58103,0.0264608,0.02462,0.464368,18.8319
GBM-179,0.87078,0.0510637,0.0103729,0.0114773,0.493692,0.615531
GBM-180,0.966689,2.51379,0.0190445,0.0167593,0.100548,4.90588
GBM-181,1.16936,1.69202,0.0189916,0.0025233,0.336858,25.5475
GBM-182,1.13121,1.42395,0.0228473,0.00678013,0.254769,19.1382
GBM-183,1.15479,1.1866,0.0137572,0.0113506,0.486265,26.6494
GBM-184,0.800384,0.368597,0.016411,0.0154589,0.310888,1.22753
GBM-185,1.15508,1.22367,0.0129167,0.000227142,0.16354,16.4818
GBM-186,1.03608,1.79999,0.013463,0.00407291,0.401863,23.1842
GBM-187,1.0765,0.0706759,0.010785,0.0194322,0.305286,7.82352
GBM-188,1.06476,2.12668,0.0269129,0.0229846,0.384899,23.7523
GBM-189,0.840439,0.386066,0.0163554,0.0224646,0.227824,0.782631
GBM-190,1.01172,0.259086,0.0297182,0.00512126,0.0954845,2.9415
GBM-191,1.11828,0.744281,0.0267753,0.00264663,0.379044,19.1817
GBM-192,0.97384,1.02631,0.0297116,0.018383,0.38822,14.6882
GBM-193,0.857003,0.315595,0.0297702,0.0272489,0.371632,2.99722
GBM-194,1.03309,2.76884,0.0143474,0.00934271,0.094315,8.42432
GBM-195,0.846469,1.53879,0.0277523,0.00413391,0.478732,18.4752
GBM-196,1.06784,2.9939,0.0260268,0.0042524,0.201271,19.7489
GBM-197,1.12776,1.36098,0.0178664,0.0151446,0.2902,18.9221
GBM-198,0.878005,1.67787,0.0118711,0.0102615,0.42129,16.4909
GBM-199,0.900488,0.734225,0.0185298,0.0299919,0.256532,4.38193
GBM-200,1.09998,1.24177,0.0228901,0.00585621,0.429814,23.7247
GBM-201,1.05266,0.235844,0.0220303,0.0205152,0.173342,6.35763
GBM-202,1.06974,2.38277,0.0193263,0.00989189,0.394125,26.7758
GBM-203,1.07637,1.00856,0.0184174,0.0178926,0.065949,7.43037
GBM-204,1.07061,0.619234,0.0169144,0.0152487,0.411747,15.9144
GBM-205,1.14208,0.537102,0.0221034,0.00269159,0.462547,20.2983
GBM-206,0.866728,2.21102,0.0299493,0.0108204,0.478675,23.6883
GBM-207,1.02089,0.718875,0.0163011,0.00301367,0.210506,8.57511
GBM-208,1.09011,2.44359,0.0223472,0.02814,0.490522,30.2645
GBM-209,0.803584,1.72891,0.0180991,0.00194937,0.0952234,0.3807
GBM-210,0.816845,2.41508,0.024568,0.00587736,0.361694,16.1811
GBM-211,0.969791,0.532636,0.0209528,0.00552532,0.260962,6.57091
GBM-212,0.884977,1.58583,0.0249956,0.0166152,0.214659,6.3514
GBM-213,1.13423,2.06385,0.0176719,0.00270999,0.152303,17.2186
GBM-214,1.15618,2.30071,0.0120472,0.0113397,0.432549,30.549
GBM-215,1.1153,0.365672,0.028205,0.0182181,0.213168,11.8649
GBM-216,0.850269,0.587513,0.0179955,0.00133414,0.243248,2.33731
GBM-217,1.04145,0.824981,0.0210216,0.0289343,0.485623,18.4432
GBM-218,0.811278,2.6397,0.0258533,0.00911413,0.0685617,0.361077
GBM-219,0.903628,0.520046,0.0284869,0.014699,0.443923,8.90721
GBM-220,1.03228,2.32942,0.0132928,0.00401213,0.378811,24.6166
GBM-221,1.09674,1.35661,0.0281964,0.0110967,0.371198,21.87
GBM-222,0.957284,2.08867,0.022527,0.00208886,0.162459,9.26104
GBM-223,0.883505,2.0347,0.0267681,0.00308499,0.191253,7.72539
GBM-224,1.05645,1.68935,0.0203978,0.0227376,0.205866,12.5577
GBM-225,0.966103,0.702425,0.0106619,0.00772467,0.327667,9.47895
GBM-226,1.02122,0.425628,0.0151162,0.013055,0.428773,12.0513
GBM-227,1.10356,2.87483,0.0263189,0.0166242,0.235382,20.5388
GBM-228,1.1298,0.660182,0.0111231,0.0229996,0.123226,11.2182
GBM-229,1.1627,2.37921,0.0192005,0.0186794,0.416557,29.749
GBM-230,0.997656,0.0867619,0.0155703,0.0298939,0.303011,3.38023
GBM-231,1.07642,1.80257,0.022812,0.0173133,0.280162,18.1018
GBM-232,0.923971,2.89367,0.0196211,0.00201398,0.18383,11.1609
GBM-233,0.956605,0.395524,0.0175599,0.0281872,0.228518,3.67299
GBM-234,0.978062,2.22077,0.0233912,0.0085516,0.451707,26.2506
GBM-235,0.918937,1.31323,0.0203793,0.00725064,0.0734823,1.03793
GBM-236,0.815559,2.23564,0.0116885,0.0291288,0.471562,18.1346
GBM-237,1.15108,1.85244,0.0175484,0.00970267,0.391075,26.9791
GBM-238,1.1057,2.23278,0.0104738,0.00594722,0.424114,28.7595
GBM-239,1.08953,1.36206,0.0188685,0.0182432,0.242444,15.0505
GBM-240,1.02066,1.43213,0.0204382,0.0227764,0.0881062,4.90834
GBM-241,0.889633,0.527414,0.0151195,0.00454229,0.383488,6.73888
GBM-242,0.963538,1.34907,0.0222332,0.0055867,0.435919,19.2562
GBM-243,1.05989,2.60308,0.0175339,0.00444523,0.215178,17.8289
GBM-244,0.893068,1.48159,0.0103093,0.0288254,0.469966,16.6479
GBM-245,0.899897,1.24321,0.0249199,0.0279365,0.482053,16.5055
GBM-246,1.07666,2.04575,0.0272024,0.0017834,0.105059,13.3618
GBM-247,0.954696,2.84809,0.0258467,0.0223657,0.066041,2.73052
GBM-248,0.845941,0.924381,0.0133021,0.0268439,0.426197,9.40705
GBM-249,1.01506,0.447545,0.0140927,0.0102542,0.3842,10.9383
GBM-250,1.19361,1.12195,0.0202015,0.0246685,0.0915581,15.5001
GBM-251,0.859625,0.855069,0.0167221,0.0284416,0.480363,11.3076
GBM-252,1.03439,1.83061,0.0291787,0.0243576,0.4732,25.5624
GBM-253,0.819212,0.708954,0.0232181,0.0244328,0.0773519,0.00206854
GBM-254,1.02464,2.94891,0.0182949,0.0191498,0.202443,13.9463
GBM-255,1.03294,1.14416,0.011944,0.0199696,0.32495,14.4819
GBM-256,0.825975,1.19512,0.0295134,0.00338264,0.08006,0.125608
GBM-257,1.08259,2.62051,0.0122454,0.028257,0.293427,18.8697
GBM-258,1.09669,0.692228,0.0266197,0.0112625,0.345053,16.3033
GBM-259,1.15883,1.03176,0.0210731,0.00824818,0.458115,25.222
GBM-260,1.06191,2.17473,0.0179858,0.0248824,0.476864,27.6032
GBM-261,1.15949,2.22688,0.0292317,0.0116736,0.467607,33.4586
GBM-262,0.869611,2.69202,0.0161748,0.0293741,0.218515,7.21937
GBM-263,1.14,0.220972,0.0134132,0.0079869,0.287733,13.4612
GBM-264,0.828706,0.514939,0.0154848,0.00407533,0.112255,0.0362444
GBM-265,0.865205,2.27698,0.0297373,0.00604476,0.265407,12.1228
GBM-266,0.879827,0.44414,0.0120445,0.00196241,0.233051,1.99648
GBM-267,1.09985,2.65991,0.0136621,0.0135629,0.222878,18.1174
GBM-268,1.11392,0.891671,0.0233884,0.0279931,0.357233,17.8044
GBM-269,1.12334,2.2029,0.0187969,0.0150855,0.226533,18.634
GBM-270,0.931857,0.921306,0.0282822,0.0138193,0.0528514,0.33409
GBM-271,0.998302,0.437223,0.0160141,0.0282037,0.333337,8.35446
GBM-272,0.934449,0.621821,0.0272368,0.0294942,0.339321,7.66399
GBM-273,1.12761,1.20132,0.0250831,0.00238741,0.277944,19.354
GBM-274,0.976308,0.045807,0.0205846,0.0235355,0.220364,0.926592
GBM-275,1.1601,0.989393,0.0274469,0.0154413,0.378148,22.1004
GBM-276,1.1821,2.57458,0.0199138,0.00145435,0.399104,33.4463
GBM-277,1.05469,1.15869,0.0224137,0.0263212,0.0626533,5.49003
GBM-278,1.03409,2.35531,0.0181097,0.000485323,0.452374,29.8959
GBM-279,0.891212,1.53077,0.0274295,0.0256013,0.36601,13.0792
GBM-280,1.04602,0.302461,0.0162133,0.00992251,0.464052,12.3409
GBM-281,0.956398,1.34006,0.011028,0.0254418,0.208811,6.74749
GBM-282,0.971285,2.95764,0.0177603,0.0120449,0.488407,31.0132
GBM-283,0.809339,1.15941,0.0227375,0.0282083,0.144888,0.620686
GBM-284,1.17823,0.462789,0.02441,0.0143544,0.406012,19.577
GBM-285,1.06038,1.35452,0.0136212,0.0023485,0.369599,20.158
GBM-286,1.06954,1.57906,0.0258315,0.000594983,0.198073,15.3156
GBM-287,0.939901,0.829085,0.0214307,0.0245972,0.138173,2.46314
GBM-288,0.860114,2.50135,0.023729,0.00590412,0.357283,18.0281
GBM-289,1.06772,0.160651,0.0256914,0.00745556,0.433194,10.4968
GBM-290,1.15315,2.00865,0.0244843,0.0275584,0.118634,13.8068
GBM-291,0.954698,0.0291172,0.0280527,0.0169712,0.429864,1.20905
GBM-292,1.003,1.34938,0.0170391,0.00970225,0.285736,13.5682
GBM-293,0.987603,1.76784,0.0259649,0.00390509,0.392945,21.524
GBM-294,1.04774,1.83039,0.0237585,0.0283076,0.446232,23.9303
GBM-295,1.12318,0.912314,0.0194017,0.0216512,0.388354,19.5675
GBM-296,0.858402,2.76618,0.0158772,0.0270026,0.381015,17.0728
GBM-297,0.814807,0.476076,0.0151221,0.0100359,0.238037,0.947257
GBM-298,1.19194,0.457462,0.0267187,0.0161248,0.351961,19.1692
GBM-299,1.15572,1.57435,0.0170372,0.0225503,0.251399,18.4906
GBM-300,0.812071,0.531258,0.0263559,0.0195473,0.0621721,3.22052e-06
GBM-301,1.04504,2.72708,0.0297419,0.00416628,0.0894173,12.3774
GBM-302,0.876929,1.0798,0.0107445,0.0204115,0.129578,1.06254
GBM-303,0.863104,1.42378,0.0240302,0.00837795,0.322533,10.3351
GBM-304,1.12109,0.748551,0.0258063,0.0258831,0.305903,15.9524
GBM-305,1.08169,0.245226,0.0146961,0.0107013,0.162367,8.27842
GBM-306,1.10674,1.39169,0.0241478,0.00339645,0.413221,24.7
GBM-307,1.15773,0.28274,0.0235849,0.00202124,0.214619,14.5855
GBM-308,0.935044,0.673143,0.0253864,0.029893,0.0703991,0.31865
GBM-309,1.15329,1.14249,0.0243337,0.0109984,0.36281,22.417
GBM-310,0.842847,0.925833,0.0162408,0.0141222,0.388483,8.47666
GBM-311,1.19159,1.59638,0.0291848,0.027165,0.391252,26.0743
GBM-312,0.948255,0.873161,0.0266532,0.0146685,0.400568,12.9206
GBM-313,0.933295,2.12422,0.0109872,0.0183271,0.257126,11.0546
GBM-314,1.17672,2.11693,0.0131781,0.0220374,0.0799667,13.3338
GBM-315,0.888633,0.36844,0.0188244,0.0176133,0.294699,2.88562
GBM-316,0.900847,1.03505,0.0297291,0.0092915,0.233171,6.04905
GBM-317,0.897011,0.540702,0.0259447,0.0032784,0.351705,6.47427
GBM-318,0.936713,1.02339,0.0214805,0.0197608,0.336916,10.7133
GBM-319,1.19859,1.94813,0.0141797,0.0125417,0.17308,19.1732
GBM-320,1.16349,0.14344,0.0146993,0.00100553,0.19857,14.2716
GBM-321,1.16863,2.44845,0.02778,0.0122988,0.137738,18.9934
GBM-322,1.1681,2.30177,0.0116457,0.0294578,0.153977,14.2295
GBM-323,0.97166,2.14577,0.0286317,0.00526074,0.159022,10.1557
GBM-324,1.13907,2.20467,0.0173227,0.0176863,0.250388,19.9477
GBM-325,0.901765,2.7584,0.023932,0.022769,0.478392,25.8125
GBM-326,1.18325,0.889408,0.0294222,0.0143169,0.401298,23.3032
GBM-327,1.03734,0.881659,0.020063,0.0141572,0.208663,9.74472
GBM-328,1.14931,0.838189,0.0228575,0.0251614,0.157718,13.7615
GBM-329,0.857083,1.44614,0.0129584,0.00153025,0.184737,3.86497
GBM-330,0.91701,1.42804,0.0223165,0.00591052,0.172837,5.57691
GBM-331,1.12601,0.247543,0.0146347,0.0230529,0.0628046,10.9429
GBM-332,0.894512,0.516005,0.015016,0.005356,0.324053,5.15433
GBM-333,1.03374,0.791701,0.0271149,0.0162119,0.250938,10.7673
GBM-334,1.12964,2.30714,0.0132537,0.00784335,0.0983959,13.7271
GBM-335,1.01376,1.63178,0.0211509,0.0195705,0.0760475,4.55407
GBM-336,1.13841,2.90986,0.016578,0.0238279,0.122989,13.1551
GBM-337,0.821967,0.0126347,0.0187856,0.0281966,0.357954,4.58642e-07
GBM-338,1.097,0.892257,0.0290878,0.0126138,0.347104,17.8924
GBM-339,0.994744,1.97918,0.0179617,0.0175997,0.481448,25.4443
GBM-340,0.835744,2.67069,0.022492,0.0184172,0.464911,22.7402
GBM-341,0.992911,1.95182,0.0278511,0.0042675,0.408666,23.8018
GBM-342,1.10825,2.89637,0.0233477,0.0234142,0.229198,18.7667
GBM-343,1.14376,2.62478,0.011938,0.0178543,0.304928,23.4127
GBM-344,0.906728,1.33228,0.0180347,0.0278974,0.0662315,0.253838
GBM-345,0.891217,2.14435,0.0290463,0.0160034,0.346503,16.1229
GBM-346,0.827246,2.47153,0.0174836,0.0258798,0.386809,15.4836
GBM-347,0.973878,2.78522,0.0127804,0.0164771,0.0661561,2.73024
GBM-348,0.964912,0.544842,0.010502,0.025429,0.137744,2.25183
GBM-349,0.860407,0.479257,0.0121042,0.00843197,0.442875,6.6235
GBM-350,0.976303,2.47686,0.0151553,0.00689652,0.348038,21.0805
GBM-351,0.962569,2.1799,0.0175873,0.0284467,0.392727,19.2495
GBM-352,0.985845,2.27782,0.0235524,0.0230829,0.40791,22.4672
GBM-353,1.01283,2.36771,0.0289485,0.0119183,0.0551431,6.3243
GBM-354,0.83534,2.63373,0.0160751,0.00638833,0.480767,24.7295
GBM-355,1.07319,2.06415,0.0113879,0.00989697,0.326183,21.1997
GBM-356,0.851546,2.48927,0.0282219,0.0236496,0.189555,5.9822
GBM-357,0.893627,2.91163,0.0151549,0.0268144,0.184166,6.48085
GBM-358,1.18331,2.49353,0.0264284,0.018654,0.328438,27.155
GBM-359,0.933923,0.279594,0.0105995,0.0242016,0.291615,3.29539
GBM-360,0.819664,0.686955,0.0150271,0.0162382,0.133577,0.170902
GBM-361,1.00821,1.88036,0.0106247,0.0284315,0.162599,7.36237
GBM-362,0.97478,2.44309,0.026339,0.0144378,0.297215,17.8707
GBM-363,0.877882,1.20584,0.0117156,0.0210462,0.393845,11.4863
GBM-364,0.896027,2.39127,0.0133107,0.00563723,0.124432,4.07542
GBM-365,1.17424,2.08496,0.0262712,0.0157504,0.467109,32.313
GBM-366,1.02981,0.720275,0.0134172,0.0180666,0.279721,10.5297
GBM-367,1.13614,2.36866,0.0161837,0.0146705,0.457703,31.309
