index,M,T,r,q,sig,bsPrice
GBM-0,1.16932,2.70792,0.0200036,0.015679,0.457909,33.9948
GBM-1,1.18596,2.86645,0.0266782,0.0166737,0.127308,19.0004
GBM-2,0.94424,1.75319,0.0229076,0.027378,0.0842814,1.89954
GBM-3,0.949108,0.443408,0.0299653,0.0241865,0.0996568,0.884817
GBM-4,1.05122,1.60267,0.0148163,0.0115327,0.0587299,6.21604
GBM-5,0.821081,2.32375,0.0176807,0.0136075,0.229283,6.88711
GBM-6,0.809323,2.20788,0.0174253,0.0262027,0.341692,11.2261
GBM-7,0.945745,2.52374,0.0157754,0.00998475,0.405618,23.1585
GBM-8,1.17136,1.60753,0.0199206,0.022757,0.148939,15.7013
GBM-9,0.90295,2.06244,0.0193207,0.0187165,0.316368,13.5421
GBM-10,1.02688,2.17709,0.0220719,0.0179372,0.050702,4.80937
GBM-11,0.888277,0.552729,0.0153311,0.029869,0.323721,4.77373
GBM-12,0.872366,1.87575,0.0127958,0.0128331,0.294784,10.5509
GBM-13,0.957487,0.575504,0.0106009,0.0292942,0.306208,6.85878
GBM-14,0.834972,1.36006,0.0148192,0.0251442,0.32684,7.83173
GBM-15,1.07108,0.917762,0.0107108,0.00956169,0.400747,18.1562
GBM-16,0.80419,0.200148,0.0170662,0.00183772,0.297391,0.331633
GBM-17,1.11548,2.56425,0.0205425,0.0122322,0.443304,31.5744
GBM-18,0.982415,1.88139,0.0261499,0.0163138,0.281242,14.8639
GBM-19,1.05019,0.622535,0.0272676,0.0242191,0.199632,8.7836
GBM-20,1.03453,1.28536,0.0135515,0.0142308,0.305944,14.9562
GBM-21,0.888325,0.633241,0.0284586,0.0198593,0.418746,8.72321
GBM-22,0.896024,2.02577,0.0250899,0.0243644,0.377216,16.2739
GBM-23,0.863963,1.67812,0.0196417,0.0114543,0.0745411,0.394261
GBM-24,1.03267,0.629245,0.020169,0.0154321,0.320195,11.638
GBM-25,0.992154,2.46869,0.0186517,0.0146907,0.150279,9.14652
GBM-26,0.924712,0.244546,0.0184143,0.0298234,0.078438,0.0266698
GBM-27,0.851544,2.23074,0.0215089,0.0145212,0.155196,3.88601
GBM-28,1.177,2.18064,0.0208761,0.0219433,0.219189,19.774
GBM-29,0.813764,1.01379,0.0247301,0.0119369,0.241997,3.21502
GBM-30,1.14673,1.8545,0.0287373,0.0277956,0.498181,30.208
GBM-31,0.81866,0.0866936,0.0279086,0.0145443,0.136821,3.30672e-07
GBM-32,1.07376,2.12992,0.010527,0.0251171,0.24859,15.3198
GBM-33,0.843782,1.85145,0.0264273,0.0202366,0.142537,2.35337
GBM-34,0.862338,0.874548,0.0222586,0.0155856,0.31365,6.2556
GBM-35,0.806353,2.83842,0.0213216,0.00402986,0.348785,16.9352
GBM-36,0.916719,0.783065,0.0181832,0.0223265,0.0620674,0.118673
GBM-37,1.08095,2.6035,0.0240083,0.0270394,0.224452,16.3266
GBM-38,1.03388,2.64312,0.0293704,0.027924,0.489865,29.9479
GBM-39,0.986521,0.443402,0.0292864,0.00980493,0.0725298,1.6868
GBM-40,0.984969,2.76659,0.0222965,0.0105577,0.402405,26.0812
GBM-41,1.17768,0.0375369,0.0127105,0.0223434,0.275765,15.0452
GBM-42,0.833626,2.618,0.0112306,0.00295638,0.167527,4.95999
GBM-43,0.996274,2.83897,0.0230419,0.0239871,0.229353,14.0601
GBM-44,1.05013,2.12942,0.0141184,0.027205,0.127996,7.97521
GBM-45,0.827265,1.87187,0.0180918,0.0291295,0.199983,3.63564
GBM-46,1.08544,1.01723,0.0110351,0.0253331,0.252177,13.0497
GBM-47,0.836621,2.12918,0.0271782,0.0202513,0.24355,7.70689
GBM-48,1.15066,2.96611,0.0280223,0.000839952,0.306116,30.1442
GBM-49,1.06024,1.42557,0.0248439,0.00161422,0.203735,14.2458
GBM-50,1.12659,0.963943,0.0119847,0.0243675,0.265949,15.393
GBM-51,0.97687,1.91397,0.0211016,0.00608786,0.329536,18.0393
