index,M,T,r,q,sig,kappa,theta,zeta,rho,fiPrice
HES-53,1.06397,1.26243,0.0213816,0.0147022,0.345493,0.772765,0.0168961,0.0132998,-0.186849,18.8324
HES-54,0.961433,0.0112557,0.0240661,0.0123959,0.321628,0.235291,0.108926,0.151866,-0.76435,0.17335
HES-55,1.13234,2.86371,0.0193256,0.0230877,0.263159,0.672334,0.0644749,0.150015,-0.525204,23.6435
HES-56,0.802086,1.951,0.0156458,0.0132139,0.446495,1.37849,0.168537,0.165309,-0.65801,17.6458
HES-57,1.16687,0.256272,0.0139987,0.00885351,0.0642567,1.0496,0.189135,0.181935,-0.125403,14.483
HES-58,0.921813,0.845621,0.0167497,0.00273694,0.19594,1.46958,0.0795099,0.143578,-0.1114,4.86418
HES-59,0.99721,0.868024,0.0102636,0.0157666,0.494251,0.682486,0.0241353,0.0814078,-0.431105,18.2093
HES-60,1.15877,2.23896,0.0242345,0.0294855,0.383178,1.70938,0.0865601,0.0763226,-0.295127,28.5602
HES-61,1.0503,0.248452,0.0166013,0.0128928,0.0515714,1.4451,0.149149,0.168374,-0.537701,5.0085
HES-62,0.980607,1.92746,0.0151224,0.0184226,0.476444,0.563506,0.0354729,0.0635143,-0.292296,25.3553
HES-63,0.841886,2.81122,0.0298353,0.0174632,0.250649,0.200655,0.0313445,0.0274373,-0.526082,13.7277
HES-64,1.01699,1.45121,0.0218362,0.0154785,0.31632,1.52819,0.125687,0.093221,-0.459464,16.7689
HES-65,0.847423,1.73065,0.0132548,0.0042928,0.486913,0.613178,0.188473,0.0707252,-0.40108,20.1288
HES-66,1.07238,1.90716,0.0177865,0.0125496,0.359057,1.88467,0.0351033,0.121284,-0.143258,23.1829
HES-67,0.878547,1.00349,0.0290176,0.0135886,0.40968,1.33934,0.0656795,0.0659844,-0.691328,12.6128
HES-68,1.17779,1.92258,0.0279136,0.0214315,0.335134,1.00325,0.0414985,0.0657449,-0.840426,26.3084
HES-69,1.03003,0.761789,0.0111212,0.00493039,0.125727,0.772272,0.0924568,0.192015,-0.363591,6.27263
HES-70,0.910482,0.49213,0.0163173,0.0219763,0.432111,0.93721,0.103825,0.120768,-0.633492,8.56895
HES-71,1.19885,2.26829,0.0148974,0.0153449,0.381237,0.791498,0.189826,0.0148385,-0.895005,30.1287
HES-72,1.17527,2.27221,0.0148138,0.009245,0.211812,1.1302,0.101349,0.117088,-0.283165,21.3711
HES-73,1.17287,0.0116994,0.0138421,0.0207871,0.323279,1.42194,0.117862,0.0491085,-0.538714,14.6447
HES-74,0.867414,1.7122,0.0235315,0.00591703,0.463477,1.82792,0.0645304,0.13232,-0.748499,20.3348
HES-75,1.14066,2.06668,0.0145212,0.0121704,0.165177,1.55143,0.121109,0.101886,-0.847197,17.0907
HES-76,0.928925,0.313768,0.0247557,0.0276778,0.0693933,0.770131,0.0943281,0.101544,-0.277173,0.463877
HES-77,1.1264,1.26619,0.023347,0.00415754,0.137744,0.439924,0.0528527,0.13524,-0.549186,13.7687
HES-78,0.862105,1.49661,0.0153866,0.0188754,0.330586,1.24922,0.157101,0.0571551,-0.705717,11.1173
HES-79,1.05696,2.01435,0.0238735,0.0181679,0.158553,0.799364,0.0855605,0.186007,-0.700992,13.2046
HES-80,1.16613,2.87601,0.0188684,0.01784,0.309772,0.51915,0.195136,0.154507,-0.254968,27.6178
HES-81,0.92363,1.84164,0.0264555,0.0116481,0.355254,1.82571,0.131856,0.0268421,-0.245573,17.7708
HES-82,1.0764,1.48434,0.0186387,0.0162854,0.323859,0.784561,0.0438801,0.192357,-0.153019,19.5191
HES-83,0.858767,0.675507,0.0105908,0.0141265,0.114227,1.64314,0.182967,0.0605558,-0.852106,0.406609
HES-84,0.873969,0.0265464,0.0196256,0.026458,0.333471,0.808586,0.106109,0.120154,-0.102556,-0.106343
HES-85,0.922777,2.38652,0.0201542,0.00279405,0.193632,1.0919,0.181956,0.178388,-0.683782,11.2135
HES-86,0.99089,2.17704,0.0171621,0.0195632,0.468238,1.53561,0.175911,0.043014,-0.622275,26.8765
HES-87,1.06348,2.07289,0.0122536,0.0249037,0.452493,1.37711,0.194362,0.0593333,-0.160735,27.4034
HES-88,0.813497,0.304632,0.0197743,0.0243648,0.48128,1.70925,0.0451204,0.138475,-0.429488,3.91548
HES-89,1.14423,1.96936,0.0160669,0.0107595,0.419042,0.775674,0.0471158,0.0454742,-0.124553,28.9519
HES-90,0.869633,2.41325,0.0186756,0.0163889,0.313865,0.287386,0.188366,0.178903,-0.239936,15.3653
HES-91,0.845196,0.0738642,0.0285058,0.00963299,0.375806,1.08704,0.107114,0.111816,-0.53033,0.463134
HES-92,0.919241,0.656989,0.0129084,0.0027472,0.0820501,0.26245,0.0308116,0.191177,-0.499241,0.923812
HES-93,0.977002,0.594582,0.0110728,0.0166697,0.461933,0.608691,0.0168062,0.0214848,-0.162839,13.305
HES-94,1.1316,0.386433,0.0175121,0.0230605,0.156273,0.488712,0.156581,0.0553198,-0.184866,12.4014
HES-95,0.829708,0.829279,0.0231675,0.0102303,0.208142,0.983818,0.14054,0.0726426,-0.71151,3.10103
HES-96,1.17889,2.64614,0.0284011,0.010037,0.0863111,0.520746,0.176688,0.168252,-0.371708,17.2286
HES-97,1.10497,0.579052,0.028695,0.00969197,0.393089,0.2099,0.0938963,0.0656852,-0.260818,17.1873
HES-98,0.969748,1.18989,0.0219247,0.0265108,0.151426,0.454981,0.163851,0.0759067,-0.124868,6.23907
HES-99,1.02594,0.743032,0.0265774,0.0254486,0.130391,1.13427,0.107487,0.104507,-0.196726,6.59251
