Contract Name,Type,Put/Call,Status,Maturity (Day),Maturity (BDay),Maturity (Year),Contract Size,Strike,Last Price,Open Price,High Price,Low Price,Close Price,Open Interest,Volume,Turnover,Implied Vol,Premium,Delta,Gamma,Vega,Theta,Rho
US.IBM210625P149000,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,149.0,2.49,3.23,3.24,2.49,3.53,225,38,11331.0,12.512,0.224,-0.985,0.038,0.002,-0.013,-0.004
US.IBM210625P150000,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,150.0,3.25,4.3,4.31,3.25,4.68,668,81,33436.0,23.574,0.061,-0.953,0.052,0.007,-0.081,-0.004
US.IBM210625P152500,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,152.5,6.61,6.6,6.61,6.6,7.43,165,20,13210.0,0.0,0.646,0.0,0.0,0.0,0.0,0.0
US.IBM210625P155000,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,155.0,10.87,10.87,0.0,0.0,10.87,7,0,0.0,70.285,1.845,-0.922,0.026,0.011,-0.38,-0.004
US.IBM210625P157500,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,157.5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,83.103,-7.259,-0.94,0.018,0.009,-0.367,-0.004
US.IBM210625P160000,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,160.0,11.27,11.27,0.0,0.0,11.27,0,0,0.0,97.427,-1.287,-0.947,0.013,0.008,-0.388,-0.004
US.IBM210625P162500,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,162.5,18.0,18.0,0.0,0.0,18.0,0,0,0.0,122.509,1.593,-0.935,0.013,0.009,-0.579,-0.004
US.IBM210625P165000,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,165.0,15.6,15.6,0.0,0.0,15.6,0,0,0.0,130.863,-1.743,-0.948,0.01,0.008,-0.514,-0.004
US.IBM210625P167500,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,167.5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,140.724,-14.069,-0.956,0.008,0.007,-0.482,-0.004
US.IBM210625P170000,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,170.0,24.95,24.95,0.0,0.0,24.95,2,0,0.0,140.571,1.219,-0.972,0.005,0.005,-0.334,-0.004
US.IBM210625P172500,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,172.5,0.0,0.0,0.0,0.0,0.0,0,0,0.0,176.01,-17.474,-0.952,0.007,0.007,-0.655,-0.004
US.IBM210625P175000,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,175.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,177.345,-19.177,-0.964,0.005,0.006,-0.518,-0.004
US.IBM210625P180000,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,180.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,233.936,-22.582,-0.941,0.006,0.009,-1.025,-0.004
US.IBM210625P185000,AMERICAN,Put,EXPIRED,-1,0,0.0,100.0,185.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,255.107,-25.987,-0.948,0.005,0.008,-1.015,-0.005
US.IBM210702C90000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,90.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-38.708,0.0,0.0,0.0,0.0,0.0
US.IBM210702C95000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,95.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-35.303,0.0,0.0,0.0,0.0,0.0
US.IBM210702C100000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-31.898,0.0,0.0,0.0,0.0,0.0
US.IBM210702C105000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,105.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-28.493,0.0,0.0,0.0,0.0,0.0
US.IBM210702C110000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,110.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-25.088,0.0,0.0,0.0,0.0,0.0
US.IBM210702C115000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,115.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-21.683,0.0,0.0,0.0,0.0,0.0
US.IBM210702C120000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,120.0,28.3,28.3,0.0,0.0,28.3,23,0,0.0,0.0,0.994,0.0,0.0,0.0,0.0,0.0
US.IBM210702C125000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,125.0,26.05,26.05,0.0,0.0,26.05,3,0,0.0,0.0,2.867,0.0,0.0,0.0,0.0,0.0
US.IBM210702C129000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,129.0,19.4,19.4,0.0,0.0,19.4,2,0,0.0,0.0,1.062,0.0,0.0,0.0,0.0,0.0
US.IBM210702C130000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,130.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-11.468,0.0,0.0,0.0,0.0,0.0
US.IBM210702C131000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,131.0,17.25,17.25,0.0,0.0,17.25,4,0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0
US.IBM210702C132000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,132.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-10.106,0.0,0.0,0.0,0.0,0.0
US.IBM210702C133000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,133.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-9.425,0.0,0.0,0.0,0.0,0.0
US.IBM210702C134000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,134.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-8.744,0.0,0.0,0.0,0.0,0.0
US.IBM210702C135000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,135.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-8.063,0.0,0.0,0.0,0.0,0.0
US.IBM210702C136000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,136.0,9.55,9.55,0.0,0.0,9.55,1,0,0.0,0.0,-0.878,0.0,0.0,0.0,0.0,0.0
US.IBM210702C137000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,137.0,11.7,11.7,0.0,0.0,11.7,2,0,0.0,0.0,1.266,0.0,0.0,0.0,0.0,0.0
US.IBM210702C138000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,138.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,17.433,-6.02,0.992,0.005,0.004,-0.005,0.03
US.IBM210702C139000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,139.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-5.339,0.0,0.0,0.0,0.0,0.0
US.IBM210702C140000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,140.0,6.5,5.85,6.5,5.85,5.45,116,12,7735.0,18.186,-0.231,0.962,0.02,0.017,-0.019,0.029
US.IBM210702C141000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,141.0,6.0,4.3,6.0,4.3,4.85,137,8,4075.0,14.457,0.108,0.971,0.02,0.013,-0.012,0.03
US.IBM210702C142000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,142.0,4.44,4.44,4.44,4.44,5.02,28,5,2220.0,0.0,-0.272,0.0,0.0,0.0,0.0,0.0
US.IBM210702C143000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,143.0,3.6,3.14,3.6,3.14,2.8,531,15,5029.0,13.036,-0.163,0.916,0.053,0.033,-0.026,0.028
US.IBM210702C144000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,144.0,3.01,1.89,3.01,1.89,2.07,108,15,3726.0,15.354,0.115,0.807,0.081,0.059,-0.056,0.025
US.IBM210702C145000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,145.0,2.26,1.52,2.26,1.3,1.8,286,352,63888.0,13.072,0.286,0.745,0.111,0.069,-0.056,0.023
US.IBM210702C146000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,146.0,1.65,1.07,1.65,0.91,1.23,431,347,49298.0,13.763,0.551,0.614,0.127,0.083,-0.071,0.019
US.IBM210702C147000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,147.0,1.02,0.72,1.12,0.61,0.85,509,598,53275.0,13.601,0.803,0.482,0.134,0.086,-0.073,0.015
US.IBM210702C148000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,148.0,0.74,0.45,0.75,0.39,0.53,1172,553,29248.0,14.507,1.293,0.361,0.118,0.081,-0.073,0.011
US.IBM210702C149000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,149.0,0.46,0.32,0.47,0.29,0.36,406,274,10479.0,14.405,1.784,0.25,0.102,0.069,-0.062,0.008
US.IBM210702C150000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,150.0,0.3,0.18,0.3,0.18,0.2,1195,300,6857.0,15.373,2.356,0.178,0.078,0.057,-0.054,0.005
US.IBM210702C152500,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,152.5,0.12,0.11,0.12,0.09,0.11,322,44,481.0,17.795,3.936,0.078,0.038,0.032,-0.035,0.002
US.IBM210702C155000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,155.0,0.1,0.09,0.1,0.02,0.08,281,32,256.0,20.799,5.625,0.041,0.019,0.019,-0.025,0.001
US.IBM210702C157500,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,157.5,0.07,0.07,0.07,0.07,0.1,210,10,70.0,24.719,7.307,0.029,0.012,0.014,-0.022,0.0
US.IBM210702C160000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,160.0,0.05,0.05,0.06,0.05,0.06,314,9,50.0,28.419,8.996,0.022,0.008,0.011,-0.02,0.0
US.IBM210702C162500,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,162.5,0.04,0.04,0.04,0.04,0.05,108,1,4.0,31.642,10.691,0.016,0.005,0.009,-0.017,0.0
US.IBM210702C165000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,165.0,0.03,0.04,0.04,0.03,0.04,133,18,64.0,34.332,12.387,0.011,0.004,0.006,-0.014,0.0
US.IBM210702C167500,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,167.5,0.04,0.04,0.0,0.0,0.04,156,0,0.0,41.351,14.096,0.017,0.004,0.009,-0.024,0.0
US.IBM210702C170000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,170.0,0.03,0.03,0.03,0.03,0.03,60,1,3.0,42.61,15.792,0.011,0.003,0.006,-0.017,0.0
US.IBM210702C172500,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,172.5,0.04,0.04,0.0,0.0,0.04,159,0,0.0,47.054,17.502,0.011,0.002,0.006,-0.019,0.0
US.IBM210702C175000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,175.0,0.03,0.03,0.0,0.0,0.03,233,0,0.0,48.904,19.197,0.008,0.002,0.005,-0.015,0.0
US.IBM210702C180000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,180.0,0.04,0.04,0.0,0.0,0.04,25,0,0.0,51.574,22.609,0.004,0.001,0.002,-0.009,0.0
US.IBM210702C185000,AMERICAN,Call,NORMAL,6,5,0.01984126984126984,100.0,185.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,62.141,25.987,0.006,0.001,0.004,-0.016,0.0
US.IBM210702P90000,AMERICAN,Put,NORMAL,6,5,0.01984126984126984,100.0,90.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,113.22,38.708,-0.001,0.0,0.0,-0.004,0.0
US.IBM210702P95000,AMERICAN,Put,NORMAL,6,5,0.01984126984126984,100.0,95.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,142.478,35.303,-0.015,0.001,0.008,-0.071,0.0
US.IBM210702P100000,AMERICAN,Put,NORMAL,6,5,0.01984126984126984,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,136.241,31.898,-0.022,0.001,0.011,-0.096,0.0
US.IBM210702P105000,AMERICAN,Put,NORMAL,6,5,0.01984126984126984,100.0,105.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,97.007,28.493,-0.008,0.001,0.004,-0.026,0.0
US.IBM210702P110000,AMERICAN,Put,NORMAL,6,5,0.01984126984126984,100.0,110.0,0.3,0.3,0.0,0.0,0.3,4,0,0.0,108.757,25.292,-0.03,0.002,0.015,-0.099,-0.001
US.IBM210702P115000,AMERICAN,Put,NORMAL,6,5,0.01984126984126984,100.0,115.0,0.02,0.02,0.0,0.0,0.02,61,0,0.0,64.086,21.697,-0.004,0.0,0.002,-0.008,0.0
