Contract Name,Type,Put/Call,Status,Maturity (Day),Maturity (BDay),Maturity (Year),Contract Size,Strike,Bid,Bid Volume,Ask,Ask Volume,Last Price,Open Price,High Price,Low Price,Close Price,Open Interest,Volume,Turnover,Implied Vol,Premium,Delta,Gamma,Vega,Theta,Rho
US.SPY220413C350000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,267.813,-20.052,0.997,0.0,0.001,-0.345,0.002
US.SPY220413C355000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,355.0,0.0,0.0,0.0,0.0,84.34,84.34,0.0,0.0,84.34,0,0,0.0,253.052,0.354,0.997,0.0,0.001,-0.343,0.003
US.SPY220413C360000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,360.0,0.0,0.0,0.0,0.0,82.11,82.11,0.0,0.0,82.11,0,0,0.0,238.441,0.986,0.997,0.0,0.001,-0.34,0.003
US.SPY220413C365000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,219.997,-16.626,0.997,0.0,0.001,-0.288,0.003
US.SPY220413C370000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,205.873,-15.484,0.997,0.0,0.001,-0.286,0.003
US.SPY220413C375000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,375.0,0.0,0.0,0.0,0.0,64.08,64.08,0.0,0.0,64.08,0,0,0.0,191.871,0.294,0.996,0.0,0.001,-0.283,0.003
US.SPY220413C380000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,177.983,-13.2,0.996,0.0,0.001,-0.28,0.003
US.SPY220413C385000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,385.0,0.0,0.0,0.0,0.0,58.2,58.2,0.0,0.0,58.2,0,0,0.0,164.195,1.235,0.996,0.0,0.001,-0.277,0.003
US.SPY220413C390000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,147.133,-10.916,0.996,0.0,0.001,-0.226,0.003
US.SPY220413C395000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,395.0,0.0,0.0,0.0,0.0,48.22,48.22,0.0,0.0,48.22,0,0,0.0,133.764,1.24,0.996,0.0,0.001,-0.223,0.003
US.SPY220413C400000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,400.0,0.0,0.0,0.0,0.0,44.0,44.0,0.0,0.0,44.0,0,0,0.0,133.455,1.418,0.992,0.001,0.003,-0.483,0.003
US.SPY220413C405000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,405.0,0.0,0.0,0.0,0.0,40.88,40.88,0.0,0.0,40.88,0,0,0.0,107.199,1.847,0.995,0.0,0.001,-0.216,0.003
US.SPY220413C408000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,408.0,0.0,0.0,0.0,0.0,31.94,31.94,0.0,0.0,31.94,0,0,0.0,99.256,0.491,0.995,0.0,0.001,-0.214,0.003
US.SPY220413C410000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,410.0,0.0,0.0,0.0,0.0,34.03,34.03,0.0,0.0,34.03,0,0,0.0,93.963,1.425,0.995,0.001,0.001,-0.212,0.003
US.SPY220413C412000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,412.0,0.0,0.0,0.0,0.0,30.5,30.5,0.0,0.0,30.5,0,0,0.0,88.669,1.075,0.994,0.001,0.002,-0.21,0.003
US.SPY220413C414000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,414.0,0.0,0.0,0.0,0.0,25.34,25.34,0.0,0.0,25.34,0,0,0.0,83.372,0.354,0.994,0.001,0.002,-0.208,0.003
US.SPY220413C415000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,415.0,0.0,0.0,0.0,0.0,24.19,24.19,0.0,0.0,24.19,0,0,0.0,80.722,0.319,0.994,0.001,0.002,-0.207,0.003
US.SPY220413C416000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,416.0,0.0,0.0,0.0,0.0,26.15,26.15,0.0,0.0,26.15,0,0,0.0,78.07,0.995,0.994,0.001,0.002,-0.206,0.003
US.SPY220413C418000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,418.0,0.0,0.0,0.0,0.0,36.85,36.85,0.0,0.0,36.85,0,0,0.0,72.76,3.896,0.993,0.001,0.002,-0.204,0.003
US.SPY220413C420000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,420.0,0.0,0.0,0.0,0.0,23.45,23.45,0.0,0.0,23.45,0,0,0.0,75.644,1.292,0.986,0.003,0.004,-0.439,0.003
US.SPY220413C422000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,422.0,0.0,0.0,0.0,0.0,20.38,20.38,0.0,0.0,20.38,0,0,0.0,69.796,1.048,0.985,0.003,0.005,-0.432,0.003
US.SPY220413C424000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,424.0,0.0,0.0,0.0,0.0,18.12,18.12,0.0,0.0,18.12,0,0,0.0,56.742,0.989,0.992,0.002,0.002,-0.196,0.003
US.SPY220413C425000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,425.0,0.0,0.0,0.0,0.0,16.91,16.91,0.0,0.0,16.91,0,0,0.0,54.053,0.941,0.992,0.002,0.003,-0.194,0.003
US.SPY220413C426000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,426.0,0.0,0.0,0.0,0.0,16.32,16.32,0.0,0.0,16.32,0,0,0.0,51.357,1.034,0.991,0.003,0.003,-0.193,0.003
US.SPY220413C428000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,428.0,0.0,0.0,0.0,0.0,15.18,15.18,0.0,0.0,15.18,0,0,0.0,45.939,1.231,0.99,0.003,0.003,-0.189,0.003
US.SPY220413C430000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,430.0,0.0,0.0,0.0,0.0,13.95,13.95,0.0,0.0,13.95,0,0,0.0,62.252,1.407,0.936,0.014,0.017,-1.408,0.004
US.SPY220413C432000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,432.0,0.0,0.0,0.0,0.0,11.77,11.77,0.0,0.0,11.77,0,0,0.0,0.01,1.365,0.999,0.0,0.0,0.0,0.001
US.SPY220413C434000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,434.0,0.0,0.0,0.0,0.0,8.94,8.94,0.0,0.0,8.94,0,0,0.0,56.62,1.176,0.878,0.024,0.028,-2.134,0.003
US.SPY220413C435000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,435.0,0.0,0.0,0.0,0.0,8.68,8.68,0.0,0.0,8.68,0,0,0.0,36.392,1.345,0.943,0.021,0.016,-0.751,0.004
