Contract Name,Type,Put/Call,Status,Maturity (Day),Maturity (BDay),Maturity (Year),Contract Size,Strike,Bid,Bid Volume,Ask,Ask Volume,Last Price,Open Price,High Price,Low Price,Close Price,Open Interest,Volume,Turnover,Implied Vol,Premium,Delta,Gamma,Vega,Theta,Rho
US.QQQ220413C308000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,308.0,0.0,0,0.0,0,33.2,33.2,0.0,0.0,33.2,0,0,0.0,130.527,0.818,0.997,0.0,0.0,-0.118,0.002
US.QQQ220413C309000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,309.0,0.0,0,0.0,0,32.73,32.73,0.0,0.0,32.73,0,0,0.0,127.238,0.975,0.997,0.0,0.0,-0.117,0.002
US.QQQ220413C310000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,310.0,0.0,0,0.0,0,35.0,35.0,0.0,0.0,35.0,0,0,0.0,166.023,1.941,0.982,0.002,0.004,-0.981,0.002
US.QQQ220413C311000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,311.0,0.0,0,0.0,0,27.52,27.52,0.0,0.0,27.52,0,0,0.0,120.674,0.026,0.997,0.0,0.0,-0.117,0.002
US.QQQ220413C312000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,312.0,0.0,0,0.0,0,32.09,32.09,0.0,0.0,32.09,0,0,0.0,125.909,1.672,0.995,0.0,0.001,-0.212,0.002
US.QQQ220413C313000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,313.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,144.745,-7.514,0.986,0.002,0.003,-0.69,0.002
US.QQQ220413C314000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,314.0,0.0,0,0.0,0,27.34,27.34,0.0,0.0,27.34,0,0,0.0,440.891,0.859,0.998,0.0,0.0,-1.115,0.0
US.QQQ220413C315000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,315.0,0.0,0,0.0,0,32.03,32.03,0.0,0.0,32.03,0,0,0.0,137.981,2.541,0.984,0.002,0.004,-0.718,0.002
US.QQQ220413C316000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,316.0,0.0,0,0.0,0,22.47,22.47,0.0,0.0,22.47,0,0,0.0,133.98,0.011,0.984,0.002,0.004,-0.714,0.002
US.QQQ220413C317000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,317.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,133.131,-6.332,0.981,0.003,0.005,-0.813,0.002
US.QQQ220413C318000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,318.0,0.0,0,0.0,0,27.43,27.43,0.0,0.0,27.43,0,0,0.0,107.829,2.068,0.993,0.001,0.002,-0.251,0.002
US.QQQ220413C319000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,319.0,0.0,0,0.0,0,25.15,25.15,0.0,0.0,25.15,0,0,0.0,375.448,1.69,0.998,0.0,0.0,-1.095,0.0
US.QQQ220413C320000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,320.0,0.0,0,0.0,0,25.07,25.07,0.0,0.0,25.07,0,0,0.0,117.96,1.962,0.982,0.003,0.004,-0.697,0.003
US.QQQ220413C321000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,321.0,0.0,0,0.0,0,23.8,23.8,0.0,0.0,23.8,0,0,0.0,112.926,1.882,0.982,0.003,0.004,-0.659,0.003
US.QQQ220413C322000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,322.0,0.0,0,0.0,0,23.03,23.03,0.0,0.0,23.03,0,0,0.0,84.779,1.95,0.996,0.001,0.001,-0.111,0.002
US.QQQ220413C323000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,323.0,0.0,0,0.0,0,19.93,19.93,0.0,0.0,19.93,0,0,0.0,106.838,1.329,0.979,0.004,0.005,-0.715,0.003
US.QQQ220413C324000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,324.0,0.0,0,0.0,0,19.59,19.59,0.0,0.0,19.59,0,0,0.0,78.266,1.524,0.996,0.001,0.001,-0.11,0.002
US.QQQ220413C325000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,325.0,0.0,0,0.0,0,21.39,21.39,0.0,0.0,21.39,0,0,0.0,391.487,2.352,0.984,0.003,0.0,-8.475,0.0
US.QQQ220413C326000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,326.0,0.0,0,0.0,0,13.91,13.91,0.0,0.0,13.91,0,0,0.0,92.916,0.437,0.979,0.004,0.005,-0.634,0.003
US.QQQ220413C327000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,327.0,0.0,0,0.0,0,17.97,17.97,0.0,0.0,17.97,0,0,0.0,270.96,1.932,0.997,0.001,0.0,-1.055,0.0
US.QQQ220413C328000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,328.0,0.0,0,0.0,0,16.81,16.81,0.0,0.0,16.81,0,0,0.0,85.674,1.885,0.976,0.005,0.006,-0.653,0.003
US.QQQ220413C329000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,329.0,0.0,0,0.0,0,11.65,11.65,0.0,0.0,11.65,0,0,0.0,83.098,0.655,0.973,0.006,0.006,-0.707,0.003
US.QQQ220413C330000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,330.0,0.0,0,0.0,0,17.13,17.13,0.0,0.0,17.13,0,0,0.0,80.304,2.57,0.969,0.007,0.007,-0.758,0.003
US.QQQ220413C331000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,331.0,0.0,0,0.0,0,14.06,14.06,0.0,0.0,14.06,0,0,0.0,75.44,1.959,0.969,0.008,0.007,-0.72,0.003
US.QQQ220413C332000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,332.0,0.0,0,0.0,0,13.22,13.22,0.0,0.0,13.22,0,0,0.0,74.146,2.006,0.962,0.009,0.009,-0.849,0.003
US.QQQ220413C333000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,333.0,0.0,0,0.0,0,13.27,13.27,0.0,0.0,13.27,0,0,0.0,67.571,2.316,0.964,0.01,0.008,-0.728,0.003
US.QQQ220413C334000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,334.0,0.0,0,0.0,0,12.9,12.9,0.0,0.0,12.9,0,0,0.0,63.822,2.502,0.961,0.011,0.009,-0.743,0.003
US.QQQ220413C335000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,335.0,0.0,0,0.0,0,12.18,12.18,0.0,0.0,12.18,0,0,0.0,59.975,2.585,0.957,0.013,0.009,-0.756,0.003
US.QQQ220413C336000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,336.0,0.0,0,0.0,0,11.3,11.3,0.0,0.0,11.3,0,0,0.0,54.077,2.62,0.959,0.014,0.009,-0.664,0.003
US.QQQ220413C337000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,337.0,0.0,0,0.0,0,9.3,9.3,0.0,0.0,9.3,0,0,0.0,35.698,2.325,0.992,0.005,0.002,-0.099,0.003
US.QQQ220413C338000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,338.0,0.0,0,0.0,0,8.52,8.52,0.0,0.0,8.52,0,0,0.0,43.847,2.39,0.957,0.018,0.01,-0.558,0.003
US.QQQ220413C339000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,339.0,0.0,0,0.0,0,7.45,7.45,0.0,0.0,7.45,0,0,0.0,40.35,2.369,0.949,0.023,0.011,-0.592,0.003
US.QQQ220413C340000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,340.0,0.0,0,0.0,0,6.13,6.13,0.0,0.0,6.13,0,0,0.0,44.761,2.275,0.898,0.035,0.019,-1.151,0.003
US.QQQ220413C341000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,341.0,0.0,0,0.0,0,5.34,5.34,0.0,0.0,5.34,0,0,0.0,21.821,2.337,0.987,0.013,0.003,-0.092,0.003
US.QQQ220413C342000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,342.0,0.0,0,0.0,0,4.25,4.25,0.0,0.0,4.25,0,0,0.0,105.359,2.31,0.944,0.04,0.002,-7.114,0.0
US.QQQ220413C343000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,343.0,0.0,0,0.0,0,3.22,3.22,0.0,0.0,3.22,0,0,0.0,19.152,2.301,0.94,0.055,0.013,-0.322,0.003
US.QQQ220413C344000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,344.0,0.0,0,0.0,0,2.49,2.49,0.0,0.0,2.49,0,0,0.0,12.619,2.381,0.956,0.065,0.01,-0.163,0.003
US.QQQ220413C345000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,345.0,0.0,0,0.0,0,1.27,1.27,0.0,0.0,1.27,0,0,0.0,7.294,2.316,0.954,0.119,0.01,-0.099,0.003
US.QQQ220413C346000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,346.0,0.0,0,0.0,0,0.35,0.35,0.0,0.0,0.35,0,0,0.0,2.824,2.34,0.87,0.679,0.022,-0.088,0.002
US.QQQ220413C347000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,347.0,0.0,0,0.0,0,0.02,0.02,0.0,0.0,0.02,5172,0,0.0,18.487,2.538,0.089,0.334,0.004,-1.838,0.0
US.QQQ220413C348000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,348.0,0.0,0,0.0,0,0.03,0.03,0.0,0.0,0.03,7436,0,0.0,41.336,2.836,0.063,0.115,0.003,-3.138,0.0
US.QQQ220413C349000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,349.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,8655,0,0.0,49.612,3.126,0.02,0.038,0.001,-1.443,0.0
US.QQQ220413C350000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,350.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,10688,0,0.0,65.069,3.421,0.016,0.024,0.001,-1.525,0.0
US.QQQ220413C351000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,351.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,2142,0,0.0,80.015,3.717,0.013,0.016,0.0,-1.586,0.0
US.QQQ220413C352000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,352.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,3153,0,0.0,94.577,4.012,0.011,0.012,0.0,-1.636,0.0
US.QQQ220413C353000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,353.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,3466,0,0.0,108.83,4.308,0.01,0.009,0.0,-1.677,0.0
US.QQQ220413C354000,AMERICAN,Call,EXPIRED,-1,0,0.0,100.0,354.0,0.0,0,0.0,0,0.01,0.01,0.0,0.0,0.01,1996,0,0.0,122.827,4.603,0.009,0.007,0.0,-1.712,0.0
